,merged_reaction,reaction_type,reaction_notes,merged_ids,reaction_IDs
463,"1 1,2-dihydroxy-5-(methylthio)pent-1-en-3-one + 1 dioxygen <=> 1 3-(methylthio)propionate + 1 carbon monoxide + 1 formate + 2 hydron",,,CHEBI:49252 + CHEBI:15379 <=> CHEBI:49016 + CHEBI:17245 + CHEBI:15740 + CHEBI:15378,RHEA:14161
464,1 water + 1 L-homocysteine zwitterion <=> 1 2-oxobutanoate + 1 hydron + 1 hydrosulfide + 1 ammonium,,,CHEBI:15377 + CHEBI:58199 <=> CHEBI:16763 + CHEBI:15378 + CHEBI:29919 + CHEBI:28938,RHEA:14501
465,1 omega-oxo fatty acid anion + 1 water + 1 NAD(1-) <=> 1 dicarboxylic acid dianion + 2 hydron + 1 NADH(2-),,,CHEBI:76309 + CHEBI:15377 + CHEBI:57540 <=> CHEBI:28965 + CHEBI:15378 + CHEBI:57945,RHEA:39039
466,1 NAD(1-) + 1 NEFA  <=> 1 hydron + 1 NADH(2-) + 1 NEFA,FFA_modify,,CHEBI:57540 + CHEBI:57397 <=> CHEBI:15378 + CHEBI:57945 + CHEBI:57401,RHEA:16477
467,1 3beta-hydroxy steroid + 1 TAG  <=> 1 3β-hydroxysterol ester + 1 DAG,L_FAdelete,"2,2",CHEBI:36836 + CHEBI:17855 <=> CHEBI:13610 + CHEBI:18035,RHEA:16897
468,1 1-aminocyclopropanecarboxylic acid zwitterion + 1 water <=> 1 2-oxobutanoate + 1 ammonium,,,CHEBI:58360 + CHEBI:15377 <=> CHEBI:16763 + CHEBI:28938,RHEA:16933
469,1 ATP(4-) + 1 MAG O-  <=> 1 ADP(3-) + 1 hydron + 1 LPA O-,L_HGdelete,,CHEBI:30616 + CHEBI:15850 <=> CHEBI:456216 + CHEBI:15378 + CHEBI:58014,RHEA:16937
470,1 1-alkyl-2-acetyl-sn-glycerol 3-phosphate(2-) + 1 water <=> 1 1-alkyl-2-acetyl-sn-glycerol + 1 hydrogenphosphate,L_HGdelete,,CHEBI:58191 + CHEBI:15377 <=> CHEBI:16291 + CHEBI:43474,RHEA:18221
471,1 aldehyde + 1 water + 1 dioxygen <=> 1 carboxylic acid anion + 1 hydron + 1 hydrogen peroxide,,,CHEBI:17478 + CHEBI:15377 + CHEBI:15379 <=> CHEBI:29067 + CHEBI:15378 + CHEBI:16240,RHEA:16829
472,"1 1-octadecanoyl-2-[(9Z,12Z)-octadecadienoyl]-sn-glycero-3-phosphocholine + 1 water <=> 1 hydron + 1 LPC 18:2 + 1 NEFA ",L_FAdelete,,CHEBI:84822 + CHEBI:15377 <=> CHEBI:15378 + CHEBI:76084 + CHEBI:25629,RHEA:56636
473,1 water + 1 prostaglandin F2alpha-CoA(4-) <=> 1 coenzyme A(4-) + 1 hydron + 1 NEFA,FFA_modify,,CHEBI:15377 + CHEBI:143532 <=> CHEBI:57287 + CHEBI:15378 + CHEBI:57404,RHEA:59948
474,1 2-oxoglutarate(2-) + 1 6-aminohexanoic acid zwitterion <=> 1 6-oxohexanoate + 1 L-glutamate(1-),,,CHEBI:16810 + CHEBI:57826 <=> CHEBI:18322 + CHEBI:29985,RHEA:58200
475,1 (15S)-15-hydroperoxy-prostaglandin E2(1-) <=> 1 NEFA,FFA_modify,,CHEBI:152564 <=> CHEBI:82629,RHEA:64364
476,"1 dioxygen + 1 FMNH2(2-) + 1 NEFA  <=> 1 (4Z,7Z,10Z,13Z,16Z)-20-hydroxydocosapentaenoate + 1 hydron + 1 water + 1 FMN(3-)",FFA_modify,,CHEBI:15379 + CHEBI:57618 + CHEBI:77226 <=> CHEBI:133939 + CHEBI:15378 + CHEBI:15377 + CHEBI:58210,RHEA:51112
477,"2 dioxygen + 1 NEFA  <=> 1 (4Z,7Z,11Z,13Z,15E,17S)-10,17-bis(hydroperoxy)docosapentaenoate",FFA_modify,,CHEBI:15379 + CHEBI:77226 <=> CHEBI:133949,RHEA:51140
478,1 6-trans-leukotriene B4(1-) + 1 NADP(3-) <=> 1 12-oxo-6-trans-leukotriene B4(1-) + 1 hydron + 1 NADPH(4-),FFA_modify,,CHEBI:90723 + CHEBI:58349 <=> CHEBI:133974 + CHEBI:15378 + CHEBI:57783,RHEA:51204
479,"1 dioxygen + 1 NEFA  <=> 1 (8R,9E,11Z,14Z)-8-hydroperoxyicosatrienoate",FFA_modify,,CHEBI:15379 + CHEBI:71589 <=> CHEBI:134051,RHEA:51324
480,"1 dioxygen + 1 NEFA  <=> 1 (8Z,11Z,14Z)-10-hydroperoxyicosatrienoate",FFA_modify,,CHEBI:15379 + CHEBI:71589 <=> CHEBI:134052,RHEA:51328
481,"1 dioxygen + 1 NEFA  <=> 1 (8Z,12E,14Z)-11-hydroperoxyicosatrienoate",FFA_modify,,CHEBI:15379 + CHEBI:71589 <=> CHEBI:134053,RHEA:51332
482,1 dioxygen + 1 FMNH2(2-) + 1 NEFA  <=> 1 hydron + 1 water + 1 FMN(3-) + 1 NEFA,FFA_modify,,CHEBI:15379 + CHEBI:57618 + CHEBI:32395 <=> CHEBI:15378 + CHEBI:15377 + CHEBI:58210 + CHEBI:90718,RHEA:51484
483,1 L-vinylglycine zwitterion + 1 water <=> 1 2-oxobutanoate + 1 ammonium,,,CHEBI:134467 + CHEBI:15377 <=> CHEBI:16763 + CHEBI:28938,RHEA:51916
484,1 12-PAHSA(1-) + 1 water <=> 1 hydron + 1 NEFA  + 1 NEFA,,,CHEBI:83677 + CHEBI:15377 <=> CHEBI:15378 + CHEBI:84201 + CHEBI:7896,RHEA:52056
485,1 12-[(9Z)-octadecenoyloxy]octadecanoate + 1 water <=> 1 hydron + 1 NEFA  + 1 NEFA,FFA_modify,"1,2",CHEBI:136302 + CHEBI:15377 <=> CHEBI:15378 + CHEBI:30823 + CHEBI:84201,RHEA:52060
486,1 12-[(9Z)-hexadecenoyloxy]octadecanoate + 1 water <=> 1 hydron + 1 NEFA  + 1 NEFA,FFA_modify,"1,2",CHEBI:136312 + CHEBI:15377 <=> CHEBI:15378 + CHEBI:32372 + CHEBI:84201,RHEA:52072
487,1 12-(octadecanoyloxy)octadecanoate + 1 water <=> 1 hydron + 1 NEFA  + 1 NEFA,FFA_modify,"1,2",CHEBI:136330 + CHEBI:15377 <=> CHEBI:15378 + CHEBI:84201 + CHEBI:25629,RHEA:52080
488,1 13-(octadecanoyloxy)octadecanoate + 1 water <=> 1 13-hydroxyoctadecanoate + 1 hydron + 1 NEFA,FFA_modify,"1,2",CHEBI:136335 + CHEBI:15377 <=> CHEBI:136304 + CHEBI:15378 + CHEBI:25629,RHEA:52084
489,1 9-(octadecanoyloxy)octadecanoate + 1 water <=> 1 9-hydroxyoctadecanoate + 1 hydron + 1 NEFA,FFA_modify,"1,2",CHEBI:136373 + CHEBI:15377 <=> CHEBI:136286 + CHEBI:15378 + CHEBI:25629,RHEA:52096
490,1 dioxygen + 1 FMNH2(2-) + 1 NEFA  <=> 1 20-hydroxyprostaglandin E2(1-) + 1 hydron + 1 water + 1 FMN(3-),FFA_modify,,CHEBI:15379 + CHEBI:57618 + CHEBI:606564 <=> CHEBI:136653 + CHEBI:15378 + CHEBI:15377 + CHEBI:58210,RHEA:52488
491,1 dioxygen + 1 FMNH2(2-) + 1 NEFA  <=> 1 20-hydroxyprostaglandin E1(1-) + 1 hydron + 1 water + 1 FMN(3-),FFA_modify,,CHEBI:15379 + CHEBI:57618 + CHEBI:57397 <=> CHEBI:136661 + CHEBI:15378 + CHEBI:15377 + CHEBI:58210,RHEA:52520
492,1 dioxygen + 1 FMNH2(2-) + 1 NEFA  <=> 1 20-hydroxyprostaglandin A1(1-) + 1 hydron + 1 water + 1 FMN(3-),FFA_modify,,CHEBI:15379 + CHEBI:57618 + CHEBI:57398 <=> CHEBI:136663 + CHEBI:15378 + CHEBI:15377 + CHEBI:58210,RHEA:52524
493,1 2-hydroxybutyrate + 1 NADP(3-) <=> 1 2-oxobutanoate + 1 hydron + 1 NADPH(4-),,,CHEBI:64552 + CHEBI:58349 <=> CHEBI:16763 + CHEBI:15378 + CHEBI:57783,RHEA:52608
494,"1 prostaglandin J2(1-) <=> 1 13,14-dihydro-Delta(12)-prostaglandin J2(1-)",FFA_modify,,CHEBI:133396 <=> CHEBI:133424,RHEA:53548
495,"1 dioxygen + 1 FMNH2(2-) + 1 NEFA  <=> 1 9,10-epoxy-18-hydroxy-(12Z)-octadecenoate + 1 hydron + 1 water + 1 FMN(3-)",FFA_modify,,CHEBI:15379 + CHEBI:57618 + CHEBI:84023 <=> CHEBI:137467 + CHEBI:15378 + CHEBI:15377 + CHEBI:58210,RHEA:53564
496,"1 dioxygen + 1 FMNH2(2-) + 1 NEFA  <=> 1 12,13-epoxy-18-hydroxy-(9Z)-octadecenoate + 1 hydron + 1 water + 1 FMN(3-)",FFA_modify,,CHEBI:15379 + CHEBI:57618 + CHEBI:84026 <=> CHEBI:137469 + CHEBI:15378 + CHEBI:15377 + CHEBI:58210,RHEA:53568
497,"1 dioxygen + 1 FMNH2(2-) + 1 NEFA  <=> 1 8,9-epoxy-20-hydroxy-(5Z,11Z,14Z)-icosatrienoate + 1 hydron + 1 water + 1 FMN(3-)",FFA_modify,,CHEBI:15379 + CHEBI:57618 + CHEBI:84025 <=> CHEBI:137474 + CHEBI:15378 + CHEBI:15377 + CHEBI:58210,RHEA:53572
498,"1 dioxygen + 1 FMNH2(2-) + 1 NEFA  <=> 1 11,12-epoxy-20-hydroxy-(5Z,8Z,14Z)-icosatrienoate + 1 hydron + 1 water + 1 FMN(3-)",FFA_modify,,CHEBI:15379 + CHEBI:57618 + CHEBI:76625 <=> CHEBI:137475 + CHEBI:15378 + CHEBI:15377 + CHEBI:58210,RHEA:53576
499,"1 dioxygen + 1 FMNH2(2-) + 1 NEFA  <=> 1 14,15-epoxy-20-hydroxy-(5Z,8Z,11Z)-icosatrienoate + 1 hydron + 1 water + 1 FMN(3-)",FFA_modify,,CHEBI:15379 + CHEBI:57618 + CHEBI:84024 <=> CHEBI:137476 + CHEBI:15378 + CHEBI:15377 + CHEBI:58210,RHEA:53580
500,"1 dioxygen + 1 NEFA  <=> 1 (5S)-hydroxy-(15S)-hydroperoxy-(6E,8Z,11Z,13E)-icosatetraenoate",FFA_modify,,CHEBI:15379 + CHEBI:90632 <=> CHEBI:137546,RHEA:53660
501,"1 2-[(5Z,13E,15S)-11alpha,15-dihydroxy-9-oxoprosta-5,13-dien-1-oyl]-sn-glycero-3-phosphocholine + 1 water <=> 1 hydron + 1 choline alfoscerate + 1 NEFA ",,,CHEBI:137585 + CHEBI:15377 <=> CHEBI:15378 + CHEBI:16870 + CHEBI:606564,RHEA:53692
502,"1 2-[(15S)-hydroxy-(5Z,8Z,11Z,13E)-icosatetraenoyl]-sn-glycero-3-phosphocholine + 1 water <=> 1 hydron + 1 choline alfoscerate + 1 NEFA ",,,CHEBI:137584 + CHEBI:15377 <=> CHEBI:15378 + CHEBI:16870 + CHEBI:57409,RHEA:53700
503,"1 2-[(5Z,13E,15S)-11alpha,15-dihydroxy-9-oxoprosta-5,13-dien-1-oyl]-sn-glycero-3-phosphoethanolamine zwitterion + 1 water <=> 1 hydron + 1 2-ammonioethyl (2R)-2,3-dihydroxypropyl phosphate zwitterion + 1 NEFA ",,,CHEBI:137581 + CHEBI:15377 <=> CHEBI:15378 + CHEBI:143890 + CHEBI:606564,RHEA:53704
504,1 dioxygen + 1 FMNH2(2-) + 1 NEFA  <=> 1 19-hydroxyprostaglandin I2(1-) + 1 hydron + 1 water + 1 FMN(3-),FFA_modify,,CHEBI:15379 + CHEBI:57618 + CHEBI:57403 <=> CHEBI:137987 + CHEBI:15378 + CHEBI:15377 + CHEBI:58210,RHEA:53932
505,"1 CDP-choline(1-) + 1 DAG O-  <=> 1 cytidine 5'-monophosphate(2-) + 1 hydron + 1 PC O- 16:0,2:0",L_HGdelete,,CHEBI:58779 + CHEBI:75936 <=> CHEBI:60377 + CHEBI:15378 + CHEBI:44811,RHEA:54348
506,1 2-oxo monocarboxylic acid anion + 1 hydron <=> 1 aldehyde + 1 carbon dioxide,,,CHEBI:35179 + CHEBI:15378 <=> CHEBI:17478 + CHEBI:16526,RHEA:11628
507,"1 1-tetradecanoyl-2-[(9Z,12Z)-octadecadienoyl]-sn-glycero-3-phosphocholine + 1 water <=> 1 hydron + 1 LPC 18:2 + 1 NEFA ",L_FAdelete,,CHEBI:86094 + CHEBI:15377 <=> CHEBI:15378 + CHEBI:76084 + CHEBI:30807,RHEA:54388
508,"1 1-tetradecanoyl-2-[(5Z,8Z,11Z,14Z)-eicosatetraenoyl]-sn-glycero-3-phosphocholine + 1 water <=> 1 hydron + 1 LPC 20:4 + 1 NEFA ",L_FAdelete,,CHEBI:86102 + CHEBI:15377 <=> CHEBI:15378 + CHEBI:76079 + CHEBI:30807,RHEA:54396
509,"1 1-tetradecanoyl-2-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl]-sn-glycero-3-phosphocholine + 1 water <=> 1 hydron + 1 LPC 22:6 + 1 NEFA ",L_FAdelete,,CHEBI:86162 + CHEBI:15377 <=> CHEBI:15378 + CHEBI:76085 + CHEBI:30807,RHEA:54400
510,"1 water + 1 PC 14:0,14:0 <=> 1 hydron + 1 LPC 14:0 + 1 NEFA ",L_FAdelete,,CHEBI:15377 + CHEBI:45240 <=> CHEBI:15378 + CHEBI:64489 + CHEBI:30807,RHEA:54456
511,1 1-octadecanoyl-2-pentanoyl-sn-glycero-3-phosphocholine + 1 water <=> 1 hydron + 1 LPC 18:0 + 1 NEFA,L_FAdelete,,CHEBI:138211 + CHEBI:15377 <=> CHEBI:15378 + CHEBI:73858 + CHEBI:31011,RHEA:54460
512,1 water + 1 ACoA  <=> 1 coenzyme A(4-) + 1 hydron + 1 NEFA,FFA_modify,,CHEBI:15377 + CHEBI:57389 <=> CHEBI:57287 + CHEBI:15378 + CHEBI:31011,RHEA:55052
513,1 4-methylpentanoyl-CoA(4-) + 1 water <=> 1 isocaproate + 1 coenzyme A(4-) + 1 hydron,FFA_modify,,CHEBI:131445 + CHEBI:15377 <=> CHEBI:74904 + CHEBI:57287 + CHEBI:15378,RHEA:55064
514,1 hydrogen donor + 1 dioxygen + 1 NEFA  <=> 1 hydrogen acceptor + 1 water + 1 NEFA,FFA_modify,,CHEBI:17499 + CHEBI:15379 + CHEBI:30823 <=> CHEBI:13193 + CHEBI:15377 + CHEBI:91295,RHEA:55956
515,"1 1,2-diacyl-sn-glycero-3-phospholipid + 1 N-terminal S-1,2-diacyl-sn-glyceryl-L-cysteine(1+) residue <=> 1 a 2-acyl-sn-glycero-3-phospholipid + 1 hydron + 1 N-acyl-S-1,2-diacyl-sn-glyceryl-L-cysteine residue",L_FAdelete,,CHEBI:136912 + CHEBI:140656 <=> CHEBI:140660 + CHEBI:15378 + CHEBI:140657,RHEA:48228
516,1 dioxygen + 1 NEFA  <=> 1 15-HPETrE(1-),FFA_modify,,CHEBI:15379 + CHEBI:71589 <=> CHEBI:146292,RHEA:63312
517,1 water + 1 PC O-  <=> 1 1-alkyl-2-acetyl-sn-glycerol + 1 hydron + 1 choline phosphate(1-),L_HGdelete,,CHEBI:15377 + CHEBI:36707 <=> CHEBI:16291 + CHEBI:15378 + CHEBI:295975,RHEA:63380
518,1 ATP(4-) + 1 coenzyme A(4-) + 1 NEFA  <=> 1 4-hydroxybutyryl-CoA(4-) + 1 ADP(3-) + 1 hydrogenphosphate,FFA_modify,,CHEBI:30616 + CHEBI:57287 + CHEBI:16724 <=> CHEBI:58574 + CHEBI:456216 + CHEBI:43474,RHEA:58896
519,1 1-stearoyl-2-myristoyl-sn-glycero-3-phosphocholine + 1 water <=> 1 hydron + 1 LPC 18:0 + 1 NEFA,L_FAdelete,,CHEBI:86089 + CHEBI:15377 <=> CHEBI:15378 + CHEBI:73858 + CHEBI:30807,RHEA:54480
520,1 water + 1 monoacyl-sn-glycerol 3-phosphate(2-) <=> 1 hydrogenphosphate + 1 MAG,L_HGdelete,,CHEBI:15377 + CHEBI:77589 <=> CHEBI:43474 + CHEBI:17408,RHEA:46736
521,1 1-octadecanoyl-2-nonanoyl-sn-glycero-3-phosphocholine + 1 water <=> 1 hydron + 1 nonanoate + 1 LPC 18:0,L_FAdelete,,CHEBI:138214 + CHEBI:15377 <=> CHEBI:15378 + CHEBI:32361 + CHEBI:73858,RHEA:54472
522,"1 water + 1 PC 16:0,18:0 <=> 1 hydron + 1 LPC 18:0 + 1 NEFA ",L_FAdelete,,CHEBI:15377 + CHEBI:73000 <=> CHEBI:15378 + CHEBI:76076 + CHEBI:7896,RHEA:56436
523,"1 water + 1 PC 16:0,18:0 <=> 1 hydron + 1 LPC 18:0 + 1 NEFA ",L_FAdelete,,CHEBI:15377 + CHEBI:75026 <=> CHEBI:15378 + CHEBI:73858 + CHEBI:7896,RHEA:56440
524,1 hydron + 2 hydrogen peroxide + 1 NEFA  <=> 1 carbon dioxide + 1 water + 1 pentadecanal,,,CHEBI:15378 + CHEBI:16240 + CHEBI:7896 <=> CHEBI:16526 + CHEBI:15377 + CHEBI:17302,RHEA:23960
525,1 water + 1 NAD(1-) + 1 prop-2-ynal <=> 2 hydron + 1 NADH(2-) + 1 propynoate,,,CHEBI:15377 + CHEBI:57540 + CHEBI:27976 <=> CHEBI:15378 + CHEBI:57945 + CHEBI:15364,RHEA:30879
526,1 acyl-sn-glycero-3-phosphocholine + 1 DAG  <=> 1 PC  + 1 MAG,L_FAdelete,"2,2",CHEBI:84465 + CHEBI:49172 <=> CHEBI:57643 + CHEBI:17389,RHEA:44824
527,1 water + 1 MAG  <=> 1 carboxylic acid anion + 1 glycerol + 1 hydron,,,CHEBI:15377 + CHEBI:17389 <=> CHEBI:29067 + CHEBI:17754 + CHEBI:15378,RHEA:32871
528,1 coenzyme A(4-) + 1 DAG  <=> 1 MAG  + 1 ACoA,L_FAdelete,,CHEBI:57287 + CHEBI:49172 <=> CHEBI:17389 + CHEBI:58342,RHEA:16741
529,1 ergosteryl palmitate + 1 water <=> 1 hydron + 1 ST  + 1 NEFA,,,CHEBI:64976 + CHEBI:15377 <=> CHEBI:15378 + CHEBI:16933 + CHEBI:7896,RHEA:33543
530,1 water + 1 lanosteryl palmitate <=> 1 hydron + 1 NEFA  + 1 ST,,,CHEBI:15377 + CHEBI:64975 <=> CHEBI:15378 + CHEBI:7896 + CHEBI:16521,RHEA:33547
531,"1 1,2-dihexadecanoyl-sn-glycero-3-phosphoglycerol(1-) + 1 water <=> 1 1-palmitoyl-sn-glycero-3-phosphoglycerol(1-) + 1 hydron + 1 NEFA ",L_FAdelete,,CHEBI:85270 + CHEBI:15377 <=> CHEBI:84475 + CHEBI:15378 + CHEBI:7896,RHEA:45472
532,1 water + 1 LPA 16:0 <=> 1 hydron + 1 sn-glycerol 3-phosphate(2-) + 1 NEFA,,,CHEBI:15377 + CHEBI:57518 <=> CHEBI:15378 + CHEBI:57597 + CHEBI:7896,RHEA:49092
533,1 dioxygen + 1 FMNH2(2-) + 1 NEFA  <=> 1 hydron + 1 water + 1 FMN(3-) + 1 NEFA,FFA_modify,,CHEBI:15379 + CHEBI:57618 + CHEBI:32395 <=> CHEBI:15378 + CHEBI:15377 + CHEBI:58210 + CHEBI:131974,RHEA:49928
534,1 dioxygen + 1 FMNH2(2-) + 1 NEFA  <=> 1 hydron + 1 water + 1 FMN(3-) + 1 NEFA,FFA_modify,,CHEBI:15379 + CHEBI:57618 + CHEBI:32395 <=> CHEBI:15378 + CHEBI:15377 + CHEBI:58210 + CHEBI:131992,RHEA:49936
535,1 dioxygen + 1 FMNH2(2-) + 1 NEFA  <=> 1 hydron + 1 water + 1 FMN(3-) + 1 NEFA,FFA_modify,,CHEBI:15379 + CHEBI:57618 + CHEBI:32395 <=> CHEBI:15378 + CHEBI:15377 + CHEBI:58210 + CHEBI:132016,RHEA:49968
536,1 dioxygen + 1 FMNH2(2-) + 1 NEFA  <=> 1 hydron + 1 water + 1 FMN(3-) + 1 NEFA,FFA_modify,,CHEBI:15379 + CHEBI:57618 + CHEBI:32395 <=> CHEBI:15378 + CHEBI:15377 + CHEBI:58210 + CHEBI:132019,RHEA:49972
537,1 water + 1 N-arachidonoyltaurine(1-) <=> 1 taurine zwitterion + 1 NEFA,,,CHEBI:15377 + CHEBI:132060 <=> CHEBI:507393 + CHEBI:32395,RHEA:64220
538,1 water + 1 DAG  <=> 1 carboxylic acid anion + 1 hydron + 1 MAG,L_FAdelete,,CHEBI:15377 + CHEBI:49172 <=> CHEBI:29067 + CHEBI:15378 + CHEBI:17389,RHEA:34359
539,1 dioxygen + 1 NEFA  <=> 1 8-HPETE(1-),FFA_modify,,CHEBI:15379 + CHEBI:32395 <=> CHEBI:146288,RHEA:63284
540,1 water + 1 MAG 16:0 <=> 1 glycerol + 1 hydron + 1 NEFA,,,CHEBI:15377 + CHEBI:75455 <=> CHEBI:17754 + CHEBI:15378 + CHEBI:7896,RHEA:39963
541,1 1-acyl-2-arachidonoyl-sn-glycero-3-phosphocholine + 1 water <=> 1 hydron + 1 NEFA  + 1 LPC,L_FAdelete,,CHEBI:75063 + CHEBI:15377 <=> CHEBI:15378 + CHEBI:32395 + CHEBI:58168,RHEA:40651
542,1 water + 1 LPC 16:0 <=> 1 hydron + 1 choline alfoscerate + 1 NEFA,,,CHEBI:15377 + CHEBI:72998 <=> CHEBI:15378 + CHEBI:16870 + CHEBI:7896,RHEA:40435
543,"1 water + 1 PA 18:0,20:4 <=> 1 hydron + 1 NEFA  + 1 LPA 18:0",L_FAdelete,,CHEBI:15377 + CHEBI:77091 <=> CHEBI:15378 + CHEBI:32395 + CHEBI:74565,RHEA:40451
544,"1 water + 1 PC 16:0,16:0 <=> 1 hydron + 1 NEFA  + 1 LPC 16:0",L_FAdelete,,CHEBI:15377 + CHEBI:72999 <=> CHEBI:15378 + CHEBI:7896 + CHEBI:64563,RHEA:41384
545,1 1-palmitoyl-2-acyl-sn-glycero-3-phosphocholine + 1 water <=> 1 hydron + 1 LPC  + 1 NEFA,L_FAdelete,,CHEBI:77369 + CHEBI:15377 <=> CHEBI:15378 + CHEBI:57875 + CHEBI:7896,RHEA:40507
546,"1 water + 1 PC 16:0,20:4 <=> 1 hydron + 1 LPC 20:4 + 1 NEFA ",L_FAdelete,,CHEBI:15377 + CHEBI:73003 <=> CHEBI:15378 + CHEBI:76079 + CHEBI:7896,RHEA:40571
547,"1 water + 1 PC O- 16:0,20:5 <=> 1 hydron + 1 NEFA  + 1 LPC O- 16:0",L_FAdelete,,CHEBI:15377 + CHEBI:77292 <=> CHEBI:15378 + CHEBI:32395 + CHEBI:73850,RHEA:40579
548,1 1-palmitoyl-2-acyl-sn-glycero-3-phosphoethanolamine zwitterion + 1 water <=> 1 hydron + 1 LPE  + 1 NEFA,L_FAdelete,,CHEBI:77370 + CHEBI:15377 <=> CHEBI:15378 + CHEBI:65213 + CHEBI:7896,RHEA:40599
549,"1 water + 1 tricaproin <=> 1 hydron + 1 DG 6:0,6:0 + 1 NEFA ",L_FAdelete,,CHEBI:15377 + CHEBI:77386 <=> CHEBI:15378 + CHEBI:77387 + CHEBI:17120,RHEA:40611
550,"1 water + 1 TAG 16:0,18:1,16:0 <=> 1 1-palmitoyl-2-oleoylglycerol + 1 hydron + 1 NEFA ",L_FAdelete,,CHEBI:15377 + CHEBI:75688 <=> CHEBI:75585 + CHEBI:15378 + CHEBI:7896,RHEA:40979
551,1 hydron + 1 XXX  + 1 NEFA  <=> 1 NEFA  + 1 LPA,L_FAmodify,,CHEBI:15378 + CHEBI:77465 + CHEBI:7896 <=> CHEBI:73504 + CHEBI:58303,RHEA:40679
552,1 hydron + 1 XXX  + 1 NEFA  <=> 1 LPA  + 1 NEFA,L_FAmodify,,CHEBI:15378 + CHEBI:77467 + CHEBI:7896 <=> CHEBI:58303 + CHEBI:77417,RHEA:40687
553,1 pentadecan-1-ol + 1 LPA  <=> 1 hydron + 1 XXX  + 1 NEFA,L_FAmodify,,CHEBI:77468 + CHEBI:58303 <=> CHEBI:15378 + CHEBI:77469 + CHEBI:7896,RHEA:40691
554,1 heptadecan-1-ol + 1 LPA  <=> 1 hydron + 1 XXX  + 1 NEFA,L_FAmodify,,CHEBI:77470 + CHEBI:58303 <=> CHEBI:15378 + CHEBI:77471 + CHEBI:7896,RHEA:40695
555,1 hydron + 1 XXX  + 1 NEFA  <=> 1 LPA  + 1 NEFA,L_FAmodify,,CHEBI:15378 + CHEBI:77472 + CHEBI:7896 <=> CHEBI:58303 + CHEBI:32154,RHEA:40699
556,1 hydron + 1 XXX  + 1 NEFA  <=> 1 NEFA  + 1 LPA,L_FAmodify,,CHEBI:15378 + CHEBI:77473 + CHEBI:7896 <=> CHEBI:73534 + CHEBI:58303,RHEA:40703
557,"1 (9Z,12Z,15Z)-octadecatrien-1-ol + 1 LPA  <=> 1 hydron + 1 XXX  + 1 NEFA ",L_FAmodify,,CHEBI:77474 + CHEBI:58303 <=> CHEBI:15378 + CHEBI:77475 + CHEBI:7896,RHEA:40707
558,1 1-oleoylglycerone 3-phosphate(2-) + 1 NEFA  <=> 1 NEFA  + 1 LPA,L_FAmodify,,CHEBI:77492 + CHEBI:7896 <=> CHEBI:30823 + CHEBI:58303,RHEA:40751
559,1 1-linoleoylglycerone 3-phosphate(2-) + 1 NEFA  <=> 1 NEFA  + 1 LPA,L_FAmodify,,CHEBI:77493 + CHEBI:7896 <=> CHEBI:30245 + CHEBI:58303,RHEA:40755
560,1 water + 1 LPC 20:4 <=> 1 hydron + 1 choline alfoscerate + 1 NEFA,,,CHEBI:15377 + CHEBI:74344 <=> CHEBI:15378 + CHEBI:16870 + CHEBI:32395,RHEA:40831
561,"1 water + 1 LPE 16:0 <=> 1 hydron + 1 2-ammonioethyl (2R)-2,3-dihydroxypropyl phosphate zwitterion + 1 NEFA ",,,CHEBI:15377 + CHEBI:73004 <=> CHEBI:15378 + CHEBI:143890 + CHEBI:7896,RHEA:40891
562,"1 water + 1 PA 16:0,18:1 <=> 1 hydron + 1 LPA 18:1 + 1 NEFA ",L_FAdelete,,CHEBI:15377 + CHEBI:64839 <=> CHEBI:15378 + CHEBI:77593 + CHEBI:7896,RHEA:40943
563,"1 water + 1 PC 16:0,18:2 <=> 1 hydron + 1 LPC 18:2 + 1 NEFA ",L_FAdelete,,CHEBI:15377 + CHEBI:73002 <=> CHEBI:15378 + CHEBI:76084 + CHEBI:7896,RHEA:40971
564,"2 water + 1 PC 16:0,16:0 <=> 2 hydron + 1 choline alfoscerate + 2 NEFA ",,,CHEBI:15377 + CHEBI:72999 <=> CHEBI:15378 + CHEBI:16870 + CHEBI:7896,RHEA:40975
565,"1 water + 1 PC 16:0,22:6 <=> 1 hydron + 1 LPC 22:6 + 1 NEFA ",L_FAdelete,,CHEBI:15377 + CHEBI:74963 <=> CHEBI:15378 + CHEBI:76085 + CHEBI:7896,RHEA:41063
566,1 1-O-hexadecyl-2-arachidonoyl-sn-glycero-3-phosphocholine + 1 water <=> 1 hydron + 1 NEFA  + 1 LPC O- 16:0,L_FAdelete,,CHEBI:55430 + CHEBI:15377 <=> CHEBI:15378 + CHEBI:32395 + CHEBI:64496,RHEA:41067
567,"1 water + 1 PC 20:4,16:0 <=> 1 hydron + 1 LPC 20:4 + 1 NEFA ",L_FAdelete,,CHEBI:15377 + CHEBI:77694 <=> CHEBI:15378 + CHEBI:74344 + CHEBI:7896,RHEA:41071
568,"1 water + 1 PC 20:4,20:4 <=> 1 hydron + 1 NEFA  + 1 LPC 20:4",L_FAdelete,,CHEBI:15377 + CHEBI:60657 <=> CHEBI:15378 + CHEBI:32395 + CHEBI:74344,RHEA:41075
